Player,Team,Pos,Injury,Status,Est. Return
Santi Aldama,MEM,F,Calf,Game Time Decision,3/19/2025
Grayson Allen,PHX,G,Foot,Out,3/21/2025
Cole Anthony,ORL,G,Toe,Game Time Decision,3/19/2025
Deandre Ayton,POR,C,Calf,Out,3/21/2025
Lonzo Ball,CHI,G,Wrist,Out,3/27/2025
LaMelo Ball,CHA,G,Wrist,Game Time Decision,3/20/2025
RJ Barrett,TOR,F,Illness,Game Time Decision,3/20/2025
Charles Bassey,SAS,C,Knee,Out,3/21/2025
Bradley Beal,PHX,G,Hamstring,Out,3/26/2025
Saddiq Bey,WAS,F,Knee,Out,4/6/2025
Adem Bona,PHI,C,Ankle,Out,3/21/2025
Brandon Boston,NOP,F,Ankle,Out,3/28/2025
Christian Braun,DEN,G,Foot,Game Time Decision,3/19/2025
Miles Bridges,CHA,F,Rest,Game Time Decision,3/20/2025
Malcolm Brogdon,WAS,G,Ankle,Out,3/26/2025
Jaylen Brown,BOS,F,Knee,Game Time Decision,3/21/2025
Jalen Brunson,NYK,G,Ankle,Out,3/28/2025
Kobe Bufkin,ATL,G,Shoulder,Out For Season,10/1/2025
Alec Burks,MIA,G,Back,Game Time Decision,3/19/2025
Toumani Camara,POR,F,Calf,Game Time Decision,3/19/2025
Clint Capela,ATL,C,Personal,Game Time Decision,3/22/2025
Ulrich Chomche,TOR,C,Knee,Out For Season,7/1/2025
Sidy Cissoko,POR,G,Ankle,Game Time Decision,3/19/2025
John Collins,UTA,F,Ankle,Out,4/9/2025
Bilal Coulibaly,WAS,F,Hamstring,Out For Season,10/1/2025
Stephen Curry,GSW,G,Rest,Game Time Decision,3/20/2025
Anthony Davis,DAL,C,Thigh,Out,4/2/2025
Moussa Diabate,CHA,C,Knee,Game Time Decision,3/20/2025
Gradey Dick,TOR,F,Knee,Out,3/24/2025
Ousmane Dieng,OKC,F,Calf,Out,3/21/2025
Luka Doncic,LAL,G,Ankle,Game Time Decision,3/19/2025
Luguentz Dort,OKC,F,Hip,Out,3/21/2025
Ayo Dosunmu,CHI,G,Shoulder,Out For Season,10/1/2025
Andre Drummond,PHI,C,Toe,Out,3/21/2025
